Date,STOCH_K,STOCH_D,EMA_20,MACD_12_26,RSI_28,BBANDS_lower_20_2,BBANDS_middle_20_2,BBANDS_upper_20_2,Volume,Close,IndoBERT Sentiment Score
2020-01-02,76.08695652173914,76.40398550724638,6533.29657942364,104.48575124579202,64.70588235294117,6192.946065887133,6501.25,6809.553934112867,49445000,6690.0,-0.3333333333333333
2020-01-03,100.0,83.69565217391305,6558.696905192817,112.68085565626644,66.66666666666666,6186.628072409718,6520.0,6853.371927590282,47755500,6800.0,0.6666666666666666
2020-01-06,85.86956521739131,87.31884057971014,6575.487676126835,112.6322240045738,65.93406593406593,6198.7686707616185,6538.0,6877.2313292383815,27300000,6735.0,-0.5
2020-01-07,86.95652173913044,90.94202898550724,6591.155516495707,111.70942457370802,65.93406593406593,6216.32804820612,6556.75,6897.17195179388,45022500,6740.0,0.2333333333333333
2020-01-08,73.91304347826086,82.2463768115942,6599.616895877069,104.92706690481008,64.51612903225806,6245.150499728097,6573.75,6902.349500271903,53692500,6680.0,0.75
2020-01-09,86.20689655172413,82.35882058970515,6612.986715317347,103.20382865248575,65.74394463667821,6265.704992191303,6591.0,6916.295007808697,40363500,6740.0,0.3333333333333333
2020-01-10,74.02597402597402,78.04863801865301,6623.654647191886,99.481020008614,64.70588235294119,6290.698551305816,6607.5,6924.301448694184,73362000,6725.0,0.6666666666666666
2020-01-13,65.95744680851064,75.39677246206959,6635.211347459326,97.02604434736168,67.49116607773851,6325.762310485145,6626.5,6927.237689514855,67855000,6745.0,0.5
2020-01-14,94.54545454545456,78.17629179331307,6657.572171510819,103.96843043216631,69.5364238410596,6355.016358915784,6651.0,6946.983641084216,93582000,6870.0,0.75
2020-01-15,45.1219512195122,68.54161752449245,6674.4700599383605,105.43077359909604,64.64285714285714,6407.8090206387815,6675.75,6943.6909793612185,75623500,6835.0,0.5
2020-01-16,47.5,62.38913525498892,6691.187197087088,106.5715749566716,67.39926739926739,6466.437772144542,6700.25,6934.062227855458,88931500,6850.0,-1.0
2020-01-17,52.56410256410257,48.39535126120492,6708.693178316889,108.24517630569426,68.47826086956522,6541.791879714972,6726.0,6910.208120285028,38249500,6875.0,-0.3333333333333333
2020-01-20,42.30769230769231,47.45726495726496,6720.722399429566,105.13195598021956,67.74193548387096,6586.226082204345,6742.75,6899.273917795655,93554500,6835.0,0.6
2020-01-21,41.02564102564102,45.2991452991453,6731.129789960084,101.09587787928922,66.17100371747212,6585.218944239058,6746.5,6907.781055760942,103984500,6830.0,-0.25
2020-01-22,43.58974358974359,42.30769230769231,6741.498381392457,97.57933944831257,66.42066420664207,6607.744010331105,6758.5,6909.255989668895,94311500,6840.0,0.3333333333333333
2020-01-23,43.58974358974359,42.73504273504273,6750.879487926509,93.71220148161136,67.9245283018868,6620.047956056373,6767.5,6914.952043943627,87728000,6840.0,-0.15
2020-01-24,35.8974358974359,41.02564102564103,6756.5100128858885,87.22128482414973,66.044776119403,6635.527308841685,6775.0,6914.472691158315,69653500,6810.0,1.0
2020-01-27,43.58974358974359,41.02564102564103,6764.4614402300895,83.53499644780004,68.796992481203,6648.194096646539,6783.0,6917.805903353461,39679000,6840.0,-0.3333333333333333
2020-01-28,22.857142857142858,34.114774114774114,6766.8936840177,75.7063090139336,65.80882352941177,6659.462699073748,6787.75,6916.037300926252,82615000,6790.0,0.5
2020-01-29,21.428571428571427,29.29181929181929,6768.6180950636335,68.31111163396417,65.56776556776558,6673.874789003473,6792.75,6911.625210996527,43821000,6785.0,-1.0
2020-01-30,3.0303030303030303,15.772005772005771,6765.89256220043,58.14893577633666,59.44881889763779,6683.589094152286,6795.25,6906.910905847714,71990000,6740.0,-0.3333333333333333
2020-01-31,0.0,8.152958152958153,6738.664699133722,28.78371040894945,39.21568627450981,6599.5052980065,6779.25,6958.9947019935,163136500,6480.0,0.0
2020-02-03,10.144927536231885,4.391743522178305,6710.220442073367,2.257864774569498,43.10344827586207,6529.53303703668,6764.5,6999.46696296332,149797000,6440.0,-0.4
2020-02-04,38.01652892561984,16.05381882061724,6699.723257113998,-5.786690805352919,47.61904761904761,6511.382783595861,6757.5,7003.617216404139,113316500,6600.0,1.0
2020-02-05,59.50413223140496,35.888529564418896,6702.606756436475,-1.6530897263137376,52.51798561151079,6516.192483169298,6760.0,7003.807516830702,123002500,6730.0,-0.3333333333333333
2020-02-06,61.15702479338842,52.89256198347107,6706.168017728239,2.402046044743656,52.17391304347826,6516.192483169298,6760.0,7003.807516830702,154693500,6740.0,0.0
2020-02-07,68.42105263157895,63.02740321879077,6711.294873182692,7.147214571415134,52.34657039711192,6518.4984516195855,6761.75,7005.001548380415,82609000,6760.0,1.0
2020-02-10,72.80701754385966,67.46169832294235,6718.314409070054,12.777791456170236,53.57142857142857,6520.420572009239,6763.75,7007.079427990761,66578500,6785.0,1.0
