Date;Open;High;Low;Close;Adj Close;Volume;SMA_5;EMA_5;WMA_5;DEMA_5;TEMA_5;TRIMA_5;KAMA_5;MAMA_5;FAMA_5;SMA_20;EMA_20;WMA_20;DEMA_20;TEMA_20;TRIMA_20;KAMA_20;MAMA_20;FAMA_20;SMA_50;EMA_50;WMA_50;DEMA_50;TEMA_50;TRIMA_50;KAMA_50;MAMA_50;FAMA_50;SMA_100;EMA_100;WMA_100;DEMA_100;TEMA_100;TRIMA_100;KAMA_100;MAMA_100;FAMA_100;SMA_200;EMA_200;WMA_200;DEMA_200;TEMA_200;TRIMA_200;KAMA_200;MAMA_200;FAMA_200;BBANDS_upper_5_2;BBANDS_middle_5_2;BBANDS_lower_5_2;BBANDS_upper_20_2;BBANDS_middle_20_2;BBANDS_lower_20_2;BBANDS_upper_50_2;BBANDS_middle_50_2;BBANDS_lower_50_2;RSI_14;RSI_28;MACD_12_26;MACD_signal_12_26;MACD_hist_12_26;MACD_19_39;MACD_signal_19_39;MACD_hist_19_39;HT_TRENDLINE;MAVP;MIDPOINT;MIDPRICE;SAR;SAREXT;T3;ADX_14;ADX_28;ADXR;APO;AROON_down;AROON_up;AROONOSC;BOP;CCI;CMO;DX;MACDEXT;MACDEXT_signal;MACDEXT_hist;MACDFIX;MACDFIX_signal;MACDFIX_hist;MFI;MINUS_DI;MINUS_DM;MOM;PLUS_DI;PLUS_DM;PPO;ROC;ROCP;ROCR;ROCR100;RSI;STOCH_k;STOCH_d;STOCHF_k;STOCHF_d;STOCHRSI_k;STOCHRSI_d;TRIX;ULTOSC;WILLR;slowk_14_3;slowd_14_3;slowk_21_6;slowd_21_6;AD;ADOSC;OBV;HT_DCPERIOD;HT_DCPHASE;HT_PHASOR_inphase;HT_PHASOR_quadrature;HT_SINE_sine;HT_SINE_leadsine;HT_TRENDMODE;AVGPRICE;MEDPRICE;TYPPRICE;WCLPRICE;ATR_14;ATR_28;NATR;TRANGE;PATTERN_2CROWS;PATTERN_3BLACKCROWS;PATTERN_3INSIDE;PATTERN_3LINESTRIKE;PATTERN_3OUTSIDE;PATTERN_3STARSINSOUTH;PATTERN_3WHITESOLDIERS;PATTERN_ABANDONEDBABY;PATTERN_ADVANCEBLOCK;PATTERN_BELTHOLD;PATTERN_BREAKAWAY;PATTERN_CLOSINGMARUBOZU;PATTERN_CONCEALBABYSWALL;PATTERN_COUNTERATTACK;PATTERN_DARKCLOUDCOVER;PATTERN_DOJI;PATTERN_DOJISTAR;PATTERN_DRAGONFLYDOJI;PATTERN_ENGULFING;PATTERN_EVENINGDOJISTAR;PATTERN_EVENINGSTAR;PATTERN_GAPSIDESIDEWHITE;PATTERN_GRAVESTONEDOJI;PATTERN_HAMMER;PATTERN_HANGINGMAN;PATTERN_HARAMI;PATTERN_HARAMICROSS;PATTERN_HIGHWAVE;PATTERN_HIKKAKE;PATTERN_HIKKAKEMOD;PATTERN_HOMINGPIGEON;PATTERN_IDENTICAL3CROWS;PATTERN_INNECK;PATTERN_INVERTEDHAMMER;PATTERN_KICKING;PATTERN_KICKINGBYLENGTH;PATTERN_LADDERBOTTOM;PATTERN_LONGLEGGEDDOJI;PATTERN_LONGLINE;PATTERN_MARUBOZU;PATTERN_MATCHINGLOW;PATTERN_MATHOLD;PATTERN_MORNINGDOJISTAR;PATTERN_MORNINGSTAR;PATTERN_ONNECK;PATTERN_PIERCING;PATTERN_RICKSHAWMAN;PATTERN_RISEFALL3METHODS;PATTERN_SEPARATINGLINES;PATTERN_SHOOTINGSTAR;PATTERN_SHORTLINE;PATTERN_SPINNINGTOP;PATTERN_STALLEDPATTERN;PATTERN_STICKSANDWICH;PATTERN_TAKURI;PATTERN_TASUKIGAP;PATTERN_THRUSTING;PATTERN_TRISTAR;PATTERN_UNIQUE3RIVER;PATTERN_UPSIDEGAP2CROWS;PATTERN_XSIDEGAP3METHODS
2020-01-02;6695.0;6780.0;6680.0;6690.0;6029.9580078125;49445000.0;6682.0;6672.959017108677;6686.333333333333;6707.521413883635;6693.931755460442;6685.0;6614.345510556695;6627.500529638606;6465.494058014897;6501.25;6533.078533840688;6570.238095238095;6667.397700866399;6716.756409548222;6479.045454545454;6467.646819907767;6627.500529638606;6465.494058014897;6368.9;6389.240278903052;6434.462745098039;6561.798561452807;6618.957248649321;6334.330769230769;6385.156130692938;6627.500529638606;6465.494058014897;6206.3;6245.029396348852;6309.006930693069;6499.355460349585;6526.463124273253;6184.725490196078;6242.191817392599;6627.500529638606;6465.494058014897;5995.15;6001.583123616605;6158.400995024876;6468.812473248105;6498.6139767096965;6008.269306930693;6258.269510163634;6627.500529638606;6465.494058014897;6706.166091947189;6682.0;6657.833908052811;6801.747504149369;6501.25;6200.752495850631;6661.954875407365;6368.9;6075.845124592634;67.21576987289085;63.99977501690005;105.33576447889664;86.14291270314922;19.192851775747414;108.86208680537675;89.21723839891823;19.64484840645852;6492.827205882353;6432.166666666667;6547.5;6570.0;6451.591826399024;6451.591826399024;6704.509516746737;36.50481076042322;15.091079993289712;23.38682563931252;131.31410256410254;35.714285714285715;50.0;14.285714285714286;-0.05;75.4192132894531;34.431539745781706;71.72266606114826;131.31410256410254;88.53632478632477;42.77777777777777;100.12591449816955;81.76648735265235;18.359427145517202;66.42095473085358;5.472899260664605;67.7886940219656;330.0;33.23583666542705;411.667354900858;2.0356347881389616;5.188679245283012;0.05188679245283019;1.0518867924528301;105.18867924528301;67.21576987289085;52.82051282051268;61.92258571568911;30.769230769230766;52.82051282051268;52.709914762885695;62.94244009513923;0.10314410447318512;35.12591458702287;-23.91304347826087;76.40398550724625;75.69947665056348;78.84057971014481;78.85743174924143;-1232846371.974204;-21106891.611735582;6555463500.0;20.06195246397957;166.95741288120087;135.69183532597992;-165.0255003345409;0.22567522722172026;-0.5292887761041697;1;6711.25;6730.0;6716.666666666667;6710.0;88.47320848382553;82.63862293816803;1.322469484063162;100.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;-100;0;-100;0;0;0;0;0;0;0;0;0
2020-01-03;6750.0;6800.0;6725.0;6800.0;6129.10595703125;47755500.0;6710.0;6715.306011405784;6725.666666666667;6766.578938787162;6768.659520242642;6700.555555555555;6679.278431190988;6640.769068968555;6472.235074006203;6520.0;6558.49962585586;6598.690476190476;6703.026526892851;6756.919975043752;6506.181818181818;6495.019660425979;6640.769068968555;6472.235074006203;6380.5;6405.3485032597955;6451.36862745098;6586.616323620941;6649.901480981476;6341.884615384615;6407.72297176204;6640.769068968555;6472.235074006203;6213.9;6256.018913252835;6320.763366336633;6516.080720278249;6548.273762732568;6191.329411764706;6261.879256042711;6640.769068968555;6472.235074006203;6001.875;6009.527570147783;6166.409452736319;6479.9732688362055;6512.662585508766;6012.5257425742575;6273.732904995202;6640.769068968555;6472.235074006203;6800.553851381374;6710.0;6619.446148618626;6844.930761855507;6520.0;6195.069238144493;6694.246713130194;6380.5;6066.753286869806;72.41902861236153;67.18032808199015;113.4682383231684;91.60797782715306;21.860260496015343;116.40456908187662;94.65470453550991;21.74986454636671;6503.947829131653;6449.5;6570.0;6570.0;6472.4963168150825;6472.4963168150825;6723.690807811177;39.107206319113224;16.25075465734304;24.43219167342825;150.6089743589746;28.571428571428573;100.0;71.42857142857143;0.6666666666666666;92.33329274727055;44.83805722472307;72.93834858208331;150.6089743589746;99.55840455840462;51.050569800569974;107.84449179331295;86.98208824078446;20.86240355252849;71.90885490886578;4.995163989778299;62.94664444896805;440.0;31.92175517851128;402.262543836511;2.3278740500748087;6.91823899371069;0.06918238993710692;1.069182389937107;106.91823899371069;72.41902861236153;62.82051282051268;60.14245014245009;100.0;62.82051282051268;100.0;62.94244009513923;0.10776455390495432;47.7848355475568;-0.0;83.6956521739129;78.71376811594189;82.89855072463756;79.54668014829771;-1185090871.974204;-10215006.609488487;6603219000.0;20.621960708023668;170.3963811566303;106.19586688944241;-163.97583129828845;0.16683102261478425;-0.5792296871190736;1;6768.75;6762.5;6775.0;6781.25;90.01083644926656;83.6158149760906;1.3236887713127437;110.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
2020-01-06;6720.0;6750.0;6690.0;6735.0;6070.51806640625;27300000.0;6721.0;6721.870674270523;6734.0;6760.429067767933;6753.3397661489425;6718.888888888889;6682.126196900794;6645.480615520127;6476.566212544051;6538.0;6575.30918529816;6619.166666666667;6721.280268588946;6771.347648478906;6536.045454545454;6513.1650734602445;6645.480615520127;6476.566212544051;6389.2;6418.276012935882;6465.270588235294;6604.855839834399;6670.762918873562;6350.046153846154;6419.785029332902;6645.480615520127;6476.566212544051;6221.1;6265.503687247829;6331.082178217822;6529.712712208427;6565.333363481306;6198.033333333333;6277.230353245723;6645.480615520127;6476.566212544051;6008.2;6016.746201290591;6173.704228855721;6489.657652218028;6524.462919448889;6016.795544554456;6285.854848897022;6645.480615520127;6476.566212544051;6807.579443287654;6721.0;6634.420556712346;6868.641800140273;6538.0;6207.358199859727;6717.330218053744;6389.2;6061.069781946256;65.77576209134006;63.73003093613585;113.36156411770389;95.95869508526323;17.402869032440663;119.02136858287486;99.52803734498289;19.493331237891965;6516.488095238095;6463.5;6570.0;6570.0;6492.146537806178;6492.146537806178;6739.742554369423;40.59788259498022;17.166438586440893;25.161635778526254;164.16666666666697;21.42857142857143;92.85714285714286;71.42857142857143;0.25;63.49684845163047;31.551524182680126;59.9766741812512;164.16666666666697;111.12535612535622;53.04131054131075;107.82497265894563;91.15066512441669;16.674307534528936;73.33765365804844;7.300013418007784;93.45045555975605;235.0;29.17878122822881;373.52950499104594;2.53050738599872;3.6153846153846203;0.036153846153846154;1.0361538461538462;103.61538461538461;65.77576209134006;60.25641025641013;58.63247863247858;50.0;60.25641025641013;0.0;50.90330492096191;0.11236898866220368;47.19446510928059;-14.130434782608697;87.31884057971001;82.47282608695639;84.69957729468587;80.37263486312376;-1171440871.974204;-487416.6895251274;6575919000.0;20.53479130201611;176.1162547631904;43.21983112870887;-119.31320025249501;0.06773224576322409;-0.6575890046206625;1;6723.75;6720.0;6725.0;6727.5;91.43863384574752;84.55810729837309;1.3576634572494064;110.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-07;6735.0;6770.0;6730.0;6740.0;6075.025390625;45022500.0;6730.0;6727.913782847015;6740.333333333333;6757.64811756295;6747.039210629304;6741.666666666666;6684.522267636031;6692.740307760063;6530.609736348055;6556.75;6590.994024793573;6638.4047619047615;6737.254145409657;6782.814713366322;6564.636363636363;6531.565842113186;6692.740307760063;6530.609736348055;6398.5;6430.892639879573;6479.027450980392;6622.27746808091;6690.216525664383;6358.907692307693;6432.865090861412;6692.740307760063;6530.609736348055;6228.4;6274.89965383698;6341.357425742574;6543.086724761983;6581.9012893807085;6204.807843137255;6292.5144895756575;6692.740307760063;6530.609736348055;6014.475;6023.942756501629;6180.985820895522;6499.273568549175;6536.127802588193;6021.083663366337;6297.694513002418;6692.740307760063;6530.609736348055;6813.186537372341;6730.0;6646.813462627659;6888.552275459347;6556.75;6224.947724540653;6739.271184227775;6398.5;6057.728815772225;66.03387888758522;63.87802244964519;112.38497818330598;99.24395170487178;13.141026478434199;120.91362531331379;103.80515493864907;17.10847037466472;6534.991666666667;6476.5;6580.0;6570.0;6510.6177455378065;6510.6177455378065;6750.604772691775;42.10812503481291;18.09564006222534;26.06132338272181;178.33333333333303;14.285714285714286;85.71428571428572;71.42857142857143;0.125;74.26387952348851;32.06775777517044;61.74127675263779;178.33333333333303;123.55056980056987;54.782763532763155;106.97159479713628;94.31485105896061;12.656743738175663;80.71929908604048;7.062363866134608;86.77542301977347;-15.0;29.85660920294987;366.8488260631141;2.7414809121188783;-0.22205773501110526;-0.0022205773501110288;0.997779422649889;99.7779422649889;66.03387888758522;67.94871794871781;63.67521367521363;53.84615384615385;67.94871794871781;3.8853897465711396;34.62846324885705;0.11689204165710176;49.42733006627208;-13.043478260869566;90.94202898550712;87.31884057971001;86.09450483091776;81.17099436392893;-1193952121.974204;-3626307.932310343;6620941500.0;20.484361235910217;186.0328261240826;45.23581972237897;-4.97686019034391;-0.10509823148976218;-0.7775063866130181;1;6743.75;6750.0;6746.666666666667;6745.0;87.76444571390842;82.96674632343118;1.3021431114823208;40.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-08;6670.0;6745.0;6670.0;6680.0;6020.9443359375;53692500.0;6729.0;6711.9425218980095;6723.666666666667;6721.117904409296;6700.339331650434;6739.444444444444;6684.495590801644;6692.1032923720595;6534.647075248655;6573.75;6599.4707843370425;6650.142857142857;6739.470818767115;6775.028397511992;6590.409090909091;6541.42009398523;6692.1032923720595;6534.647075248655;6406.1;6440.661555962727;6490.066666666667;6633.9269181184145;6701.008486458676;6368.392307692307;6440.438428337627;6692.1032923720595;6534.647075248655;6235.2;6282.9214428699115;6350.3;6553.660820452441;6594.208545762828;6211.627450980392;6304.013796464031;6692.1032923720595;6534.647075248655;6020.525;6030.470689272757;6187.607960199005;6507.534819715125;6545.738416403359;6025.387128712871;6307.172067379987;6692.1032923720595;6534.647075248655;6814.41662601625;6729.0;6643.58337398375;6894.029175095728;6573.75;6253.470824904272;6754.607044405084;6406.1;6057.592955594917;60.16946566923269;60.79123919138165;105.5527814747802;100.50571765885346;5.047063815926748;118.9269366912722;106.8295112891737;12.097425402098509;6549.667857142857;6489.166666666667;6580.0;6570.0;6527.980680805538;6527.980680805538;6749.516786086024;42.0700431689566;18.660296524939763;26.037912433815315;178.71794871794827;7.142857142857143;78.57142857142857;71.42857142857143;0.13333333333333333;37.20822740928979;20.338931338465375;41.57497891282457;178.71794871794827;134.95370370370367;43.76424501424461;100.59719601182042;95.57132004953257;5.0258759622878415;74.44096634418446;11.561214659135441;140.57717851836108;80.0;28.01503005247557;340.64533848717736;2.741234538768601;1.21212121212122;0.012121212121212121;1.0121212121212122;101.21212121212122;60.16946566923269;37.17948717948705;55.12820512820508;7.692307692307692;37.17948717948705;0.0;1.2951299155237213;0.12100081191912526;47.6748775931198;-26.086956521739133;82.24637681159408;86.83574879227041;84.97131642512066;82.28940217391282;-1233326621.974204;-17108985.446876287;6567249000.0;20.644397697319402;189.96684932803265;49.161796325119894;-27.738626188337218;-0.1730783503155189;-0.8188200425377045;1;6691.25;6707.5;6698.333333333333;6693.75;86.85269959148638;82.68221966902293;1.3001901136450058;75.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-09;6740.0;6755.0;6730.0;6740.0;6075.025390625;40363500.0;6739.0;6721.295014598673;6727.333333333333;6733.64693140664;6721.912239098519;6732.222222222222;6686.004401452376;6716.05164618603;6579.9982179829985;6591.0;6612.854519162086;6665.976190476191;6751.630310392905;6782.693804457992;6614.545454545454;6554.800655576289;6716.05164618603;6579.9982179829985;6416.9;6452.400318473993;6503.160784313725;6649.365065703027;6717.37029545336;6378.661538461539;6455.5625254002525;6716.05164618603;6579.9982179829985;6243.0;6291.972503407141;6360.296039603961;6566.222536811657;6609.40847475329;6218.541176470588;6319.336259487109;6716.05164618603;6579.9982179829985;6026.675;6037.530682414322;6194.766915422885;6516.837650539707;6556.881632827659;6029.715346534654;6318.079429489085;6716.05164618603;6579.9982179829985;6815.0;6739.0;6663.0;6908.058354250444;6591.0;6273.941645749556;6772.584635597367;6416.9;6061.215364402632;63.64635158832069;62.66233528514944;103.78336489146477;101.16124710537572;2.622117786089049;119.63368323597115;109.39034567853318;10.243337557437968;6565.826190476191;6503.666666666667;6650.0;6582.5;6544.301839957206;6544.301839957206;6746.848098105958;42.12602915534965;19.230930704620164;26.957649555414438;158.62179487179492;0.0;71.42857142857143;71.42857142857143;0.0;85.41114058355454;27.292703176641375;42.853846978459295;158.62179487179492;142.80626780626778;15.815527065527135;98.95360651173269;96.2477773419726;2.7058291697600936;82.09156635577163;10.841090223362999;130.5359514813353;80.0;27.100537165891193;326.3135285952361;2.425980392156864;1.2012012012011963;0.012012012012012012;1.012012012012012;101.2012012012012;63.64635158832069;38.46153846153833;47.863247863247814;53.84615384615385;38.46153846153833;28.383754875420205;10.75638154066379;0.12494312924145046;50.002845533082166;-13.793103448275863;82.35882058970502;85.18240879560209;86.22131642512066;83.95430756843778;-1241399321.974204;-23637850.298573494;6607612500.0;20.945347489233775;196.98386890962263;27.992261288586064;27.242759053949584;-0.29210245448675914;-0.8828153825434055;1;6741.25;6742.5;6741.666666666667;6741.25;86.00607819209449;82.40785468084354;1.2760545725830044;75.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;100;100;0;0;0;0;0;100;0;0;0
2020-01-10;6765.0;6825.0;6710.0;6725.0;6061.5048828125;73362000.0;6724.0;6722.530009732449;6722.666666666667;6731.587951026943;6721.568839145878;6717.777777777777;6689.167710552539;6716.499063876728;6583.410739130341;6607.5;6623.535041146649;6678.738095238095;6758.75741977009;6783.64749346992;6636.863636363636;6565.3114038925105;6716.499063876728;6583.410739130341;6427.3;6463.090502063248;6515.243137254902;6662.602102261211;6730.387436638541;6389.2692307692305;6468.367915919857;6716.499063876728;6583.410739130341;6250.1;6300.54730531987;6369.840594059406;6577.771648848656;6623.017832596423;6225.564705882352;6332.134270597104;6716.499063876728;6583.410739130341;6032.8;6044.371173136567;6201.7154228855725;6525.681343836461;6567.310148750041;6034.0693069306935;6328.276804750547;6716.499063876728;6583.410739130341;6769.343136195019;6724.0;6678.656863804981;6916.279856855981;6607.5;6298.720143144019;6787.967215033476;6427.3;6066.632784966524;62.18490161978879;61.896538369875856;100.01777224195575;100.93255213269173;-0.9147798907359714;118.88978311550818;111.29023316592819;7.599549949579995;6581.651190476191;6518.666666666667;6700.0;6632.5;6559.643729559773;6559.643729559773;6743.47076888461;42.756164099328984;19.954902288354855;29.172174794925706;151.92307692307713;0.0;100.0;100.0;-0.34782608695652173;99.04963041182512;24.369803239577596;50.94791837106022;151.92307692307713;148.98504273504275;2.938034188034379;95.42310619403179;96.08284311238444;-0.6597369183526496;81.55279132768783;9.83002332577822;121.21195494695421;65.0;30.2499202743266;373.0054194098621;2.3174631112675677;0.9759759759759845;0.00975975975975976;1.0097597597597598;100.97597597597598;62.18490161978879;32.34077750206769;35.9939343810311;35.483870967741936;32.34077750206769;34.36722269585034;20.916992523756857;0.12860016132569818;44.71277699198491;-25.974025974025974;78.04863801865288;80.88461180665065;85.97329610538361;85.14309363431092;-1295623408.9307258;-41412972.65147281;6534250500.0;21.434560716298826;203.99102530671897;75.02779389669253;39.558413049367665;-0.40659354220157534;-0.9335242810245982;1;6756.25;6767.5;6753.333333333333;6746.25;88.07707260694488;83.57185987081343;1.3096962469434184;115.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-13;6740.0;6760.0;6735.0;6745.0;6079.53173828125;67855000.0;6726.0;6730.020006488299;6729.666666666667;6741.051965188529;6735.688568871643;6723.888888888889;6689.750305548797;6717.924110682891;6586.773573419156;6626.5;6635.103132466015;6691.833333333333;6767.913557652365;6788.250904556751;6657.363636363636;6579.23484561024;6717.924110682891;6586.773573419156;6437.8;6474.145776492141;6527.701960784314;6676.455126623826;6744.270246844249;6400.107692307693;6481.64788389562;6717.924110682891;6586.773573419156;6257.7;6309.348348778883;6379.640594059406;6589.709866717417;6637.135138574784;6232.719607843137;6346.4031198507755;6717.924110682891;6586.773573419156;6039.025;6051.342604249637;6208.801990049751;6534.765682661475;6578.0721543653535;6038.447524752476;6338.890650995727;6717.924110682891;6586.773573419156;6773.916594202844;6726.0;6678.083405797156;6919.622841143436;6626.5;6333.377158856564;6804.237770978902;6437.8;6071.362229021099;63.391911732047625;62.52971809626804;97.52315951379933;100.25067360891325;-2.727514095113918;118.65929959693585;112.76404645212972;5.895253144806134;6593.445887445887;6534.0;6700.0;6707.5;6580.872231194991;6580.872231194991;6742.314062780253;43.341289404452645;20.653017744099024;31.228519660186166;146.69871794871779;0.0;92.85714285714286;92.85714285714286;0.2;73.06273062730473;26.783823464095242;50.94791837106021;146.69871794871779;153.42948717948718;-6.730769230769397;93.07374037455611;95.48102256481877;-2.407282190262663;69.26976282728302;9.538455317620576;112.5539581650289;65.0;29.3526783544439;346.3621751663005;2.2335763573722147;0.9730538922155585;0.009730538922155689;1.0097305389221556;100.97305389221556;63.391911732047625;45.905707196029645;38.90267438654531;48.387096774193544;45.905707196029645;54.94916444036332;39.233380670544626;0.13202746091334205;45.23874065755334;-34.04255319148936;75.39677246206946;78.60141035680913;83.22415521191282;85.19736104885679;-1309194408.9307258;-49237843.3729794;6602105500.0;21.989708139297782;206.61937644319383;70.21611801145346;-84.96779503412209;-0.44806144975025025;-0.9489827044355161;1;6745.0;6747.5;6746.666666666667;6746.25;84.28585313502025;81.83715058971295;1.249604938992146;35.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
2020-01-14;6745.0;6885.0;6740.0;6870.0;6192.19873046875;93582000.0;6752.0;6776.6800043255325;6777.666666666667;6815.141308683841;6829.85194157797;6743.888888888889;6711.0910024060095;6725.527905148747;6590.242431712395;6651.0;6657.474262707347;6715.023809523809;6797.876622380012;6823.1459722096915;6676.590909090909;6608.005783624333;6725.527905148747;6590.242431712395;6449.9;6489.669471531664;6544.650980392157;6698.960044343218;6770.823197325853;6411.484615384616;6503.268732760678;6725.527905148747;6590.242431712395;6266.65;6320.4503616743505;6391.765346534654;6606.142337442333;6657.8533992145585;6240.019607843137;6368.030114021145;6725.527905148747;6590.242431712395;6045.875;6059.488448983471;6217.070398009951;6546.166139063018;6592.263928072696;6042.866336633664;6353.79259679928;6725.527905148747;6590.242431712395;6878.585939187573;6752.0;6625.414060812427;6939.489167907566;6651.0;6362.510832092434;6832.321181421751;6449.9;6067.478818578248;69.86585940645014;66.17305725316265;104.42882578645458;101.08630404442151;3.342521742033071;124.1189396905711;115.035025099818;9.083914590753096;6605.130999435348;6553.0;6765.0;6747.5;6600.402452699392;6600.402452699392;6757.599316530574;44.679278149483515;21.596375179811883;33.578396058987835;145.1602564102559;0.0;100.0;100.0;0.8620689655172413;203.91006842619458;39.7317188129003;62.07313183488471;145.1602564102559;156.17165242165234;-11.011396011396442;99.55447191977964;96.29571243581094;3.258759483968703;80.00487968695819;8.423715183789426;104.5143897246697;175.0;35.997116755808825;446.62201979727905;2.203764257075005;2.6138909634055185;0.026138909634055265;1.0261389096340552;102.61389096340552;69.86585940645014;58.96474118529619;45.737075294464596;93.0232558139535;58.96474118529619;100.0;63.10546237873789;0.13572077076482447;48.837785904667456;-5.454545454545454;78.17629179331294;77.20723409134509;85.022384060027;85.25116217641364;-1234974202.034174;-24347238.894422054;6695687500.0;22.50269083212976;207.54981194051342;22.14573362279813;-118.25690604073756;-0.46251959021643746;-0.9539780186136998;1;6810.0;6812.5;6831.666666666667;6841.25;88.62257791109023;84.09296664008035;1.2899938560566264;145.0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-15;6870.0;7060.0;6800.0;6835.0;6160.65234375;75623500.0;6783.0;6796.120002883688;6805.333333333333;6834.720871494665;6844.621002925861;6777.777777777777;6734.05820333287;6780.263952574373;6637.747811927889;6675.75;6674.381475782838;6732.547619047619;6816.70918445974;6841.313911976143;6694.318181818181;6630.9875043566;6780.263952574373;6637.747811927889;6460.8;6503.211845197089;6559.752941176471;6717.306244753402;6790.966676256188;6423.469230769231;6519.066733506563;6780.263952574373;6637.747811927889;6275.0;6330.639463423373;6403.019801980198;6620.661509702418;6675.592916593957;6247.419607843137;6385.5332445404765;6780.263952574373;6637.747811927889;6052.35;6067.204981829407;6224.922388059702;6556.679859253144;6605.088318429363;6047.320792079208;6366.41023760724;6780.263952574373;6637.747811927889;6899.378692207809;6783.0;6666.621307792191;6936.906562238057;6675.75;6414.593437761943;6855.248272907866;6460.8;6066.351727092135;66.32884147537428;64.35605952553826;105.85715319908832;102.04047387535488;3.816679323733439;126.41633727217686;117.31128753428978;9.105049737887086;6619.16497270845;6572.5;6765.0;6855.0;6628.862207429453;6628.862207429453;6779.577084906745;46.61200915665115;22.796512308153776;36.105580586980295;140.0;0.0;100.0;100.0;-0.1346153846153846;241.87327823691345;32.657682950748544;71.73751224983033;140.0;157.13675213675208;-17.13675213675208;100.9049592881147;97.21756180627169;3.687397481843007;79.42256296953227;6.872708874459443;97.04907617290758;150.0;41.76213838464769;589.7204469546162;2.1196063588190763;2.2438294689603566;0.02243829468960359;1.0224382946896036;102.24382946896036;66.32884147537428;59.041546100810784;54.63733149404563;35.714285714285715;59.041546100810784;53.95082189856318;69.63332877964217;0.13939568835792393;39.730408933882345;-54.87804878048781;68.54161752449234;74.03822725995825;81.897384060027;84.55164204793185;-1290237528.9572508;-29535119.36558938;6620064000.0;23.290068261370223;211.24471765409552;-17.311728191805848;-81.1518067156472;-0.51869443793026;-0.9713201523940084;1;6891.25;6930.0;6898.333333333333;6882.5;100.86382234601237;90.37536068864891;1.475696010914592;260.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
