Dates;PX_LAST
06/08/2020;-0.409903
07/08/2020;-0.417471
08/08/2020;-0.424295
09/08/2020;-0.408928
10/08/2020;-0.413078
11/08/2020;-0.414115
12/08/2020;-0.397069
13/08/2020;-0.391504
14/08/2020;-0.40518
15/08/2020;-0.393302
16/08/2020;-0.378883
17/08/2020;-0.354594
18/08/2020;-0.347795
19/08/2020;-0.328559
20/08/2020;-0.343599
21/08/2020;-0.36462
22/08/2020;-0.36125
23/08/2020;-0.349714
24/08/2020;-0.34944
25/08/2020;-0.329665
26/08/2020;-0.318595
27/08/2020;-0.324298
28/08/2020;-0.336165
29/08/2020;-0.337795
30/08/2020;-0.33777
31/08/2020;-0.34494
01/09/2020;-0.329937
02/09/2020;-0.332685
03/09/2020;-0.328926
04/09/2020;-0.329692
05/09/2020;-0.327991
06/09/2020;-0.307113
07/09/2020;-0.313948
08/09/2020;-0.310629
09/09/2020;-0.305906
10/09/2020;-0.293865
11/09/2020;-0.29919
12/09/2020;-0.292661
13/09/2020;-0.275001
14/09/2020;-0.287867
15/09/2020;-0.286009
16/09/2020;-0.280127
17/09/2020;-0.269714
18/09/2020;-0.287306
19/09/2020;-0.270002
20/09/2020;-0.26958
21/09/2020;-0.275329
22/09/2020;-0.269591
23/09/2020;-0.252566
24/09/2020;-0.251857
25/09/2020;-0.265435
26/09/2020;-0.234084
27/09/2020;-0.24402
28/09/2020;-0.220672
29/09/2020;-0.199856
30/09/2020;-0.191306
01/10/2020;-0.196875
02/10/2020;-0.211029
03/10/2020;-0.25426
04/10/2020;-0.250455
05/10/2020;-0.228167
06/10/2020;-0.230105
07/10/2020;-0.230206
08/10/2020;-0.250859
09/10/2020;-0.267114
10/10/2020;-0.25697
11/10/2020;-0.229968
12/10/2020;-0.210153
13/10/2020;-0.215353
14/10/2020;-0.199202
15/10/2020;-0.205217
16/10/2020;-0.218327
17/10/2020;-0.224465
18/10/2020;-0.196611
19/10/2020;-0.19348
20/10/2020;-0.185723
21/10/2020;-0.167746
22/10/2020;-0.164785
23/10/2020;-0.17343
24/10/2020;-0.171372
25/10/2020;-0.173384
26/10/2020;-0.148471
27/10/2020;-0.142361
28/10/2020;-0.139569
29/10/2020;-0.143395
30/10/2020;-0.141083
31/10/2020;-0.112838
01/11/2020;-0.102398
02/11/2020;-0.091236
03/11/2020;-0.101655
04/11/2020;-0.100862
05/11/2020;-0.09443
06/11/2020;-0.125235
07/11/2020;-0.129029
08/11/2020;-0.123845
09/11/2020;-0.108016
10/11/2020;-0.105496
11/11/2020;-0.117118
12/11/2020;-0.129046
13/11/2020;-0.154227
14/11/2020;-0.156085
15/11/2020;-0.146757
16/11/2020;-0.160019
17/11/2020;-0.142987
18/11/2020;-0.141155
19/11/2020;-0.13406
20/11/2020;-0.159649
21/11/2020;-0.146142
22/11/2020;-0.132311
23/11/2020;-0.110381
24/11/2020;-0.102827
25/11/2020;-0.11268
26/11/2020;-0.148839
27/11/2020;-0.149884
28/11/2020;-0.163512
29/11/2020;-0.171399
30/11/2020;-0.165901
01/12/2020;-0.18509
02/12/2020;-0.16738
