Date,Lexicon Sentiment Score
2020-08-09,9.0
2020-08-10,-3.6666666666666665
2020-08-11,2.3333333333333335
2020-08-12,-0.6666666666666666
2020-08-13,4.0
2020-08-14,-1.3333333333333333
2020-08-15,5.0
2020-08-16,0.6666666666666666
2020-08-17,-1.0
2020-08-18,0.5555555555555556
2020-08-19,-2.5
2020-08-20,0.11142857142857157
2020-08-21,3.0
2020-08-22,0.79
2020-08-23,0.7142857142857143
2020-08-24,-5.0
2020-08-25,2.0
2020-08-26,1.05
2020-08-27,-5.0
2020-08-28,1.8571428571428572
2020-08-29,-2.8666666666666667
2020-08-30,-2.0
2020-08-31,-2.5
2020-09-01,-5.333333333333333
2020-09-02,3.3333333333333335
2020-09-03,1.1666666666666667
2020-09-04,0.7349206349206348
2020-09-05,1.0366666666666666
2020-09-06,0.5
2020-09-07,1.4
2020-09-08,8.5
2020-09-09,2.6666666666666665
2020-09-10,0.3333333333333333
2020-09-11,-5.5
2020-09-12,-8.333333333333334
2020-09-13,6.0
2020-09-14,-2.75
2020-09-15,-8.0
2020-09-16,1.0
2020-09-17,-1.0
2020-09-18,2.0
2020-09-19,3.0935897435897437
2020-09-20,-1.0
2020-09-21,6.25
2020-09-22,2.6
2020-09-23,-6.0
2020-09-24,-1.6666666666666667
2020-09-25,1.75
2020-09-26,3.0
2020-09-27,-1.3333333333333333
2020-09-28,3.5
2020-09-29,-1.6666666666666667
2020-09-30,-1.0
2020-10-01,0.42857142857142855
2020-10-02,-0.4
2020-10-03,1.0
2020-10-04,6.0
2020-10-05,-2.5
2020-10-06,0.8333333333333334
2020-10-07,-1.0
2020-10-08,-3.75
2020-10-09,3.0
2020-10-10,1.2
2020-10-11,4.0
2020-10-12,-0.3333333333333333
2020-10-13,5.5
2020-10-14,1.5
2020-10-15,-0.8333333333333334
2020-10-16,-1.75
2020-10-17,2.9266666666666667
2020-10-18,2.0
2020-10-19,2.3333333333333335
2020-10-20,5.333333333333333
2020-10-21,1.75
2020-10-22,-0.5
2020-10-23,-3.0
2020-10-24,-1.0
2020-10-25,0.0
2020-10-26,0.8333333333333334
2020-10-27,-1.0
2020-10-28,0.7111111111111111
2020-10-29,0.0
2020-10-30,5.75
2020-10-31,6.0
2020-11-01,4.95
2020-11-02,6.0
2020-11-03,-0.125
2020-11-04,3.0
2020-11-05,4.0
2020-11-06,3.0
2020-11-07,-1.0442857142857143
2020-11-08,2.2222222222222223
2020-11-09,-0.8
2020-11-10,5.0
2020-11-11,5.5
2020-11-12,6.0
2020-11-13,0.0
2020-11-14,2.3333333333333335
2020-11-15,-0.5
2020-11-16,2.0
2020-11-17,2.2857142857142856
2020-11-18,1.0
2020-11-19,-9.0
2020-11-20,1.0
2020-11-21,-4.0
2020-11-22,11.0
2020-11-23,-5.2
2020-11-24,-0.3333333333333333
2020-11-25,3.3333333333333335
2020-11-26,0.0
2020-11-27,1.0
2020-11-28,2.0
2020-11-29,-9.0
2020-11-30,-2.4
2020-12-01,1.0
2020-12-02,2.0
2020-12-03,0.25
2020-12-04,-1.1666666666666667
2020-12-05,-1.7833333333333337
2020-12-06,-4.0
2020-12-07,3.3333333333333335
2020-12-08,-11.5
2020-12-09,3.0
2020-12-10,-0.8
2020-12-11,0.0
2020-12-12,0.7333333333333333
2020-12-13,2.605
2020-12-14,-1.0
2020-12-15,3.5
2020-12-16,-0.42857142857142855
2020-12-17,-2.0
2020-12-18,-6.0
2020-12-19,4.5
2020-12-20,3.7166666666666663
2020-12-21,1.0
2020-12-22,-0.4
2020-12-23,0.6666666666666666
2020-12-24,1.1666666666666667
2020-12-25,1.5
2020-12-26,-4.5
2020-12-27,-0.3333333333333333
2020-12-28,1.0
2020-12-29,-0.3333333333333333
2020-12-30,-1.5
2020-12-31,1.0
2021-01-01,0.0
2021-01-02,5.5
2021-01-03,-2.0
2021-01-04,1.6666666666666667
2021-01-05,-0.8
2021-01-06,5.333333333333333
2021-01-07,-5.0
2021-01-08,-0.14285714285714285
2021-01-09,3.5
2021-01-10,-2.0
2021-01-11,2.0
2021-01-12,-6.0
2021-01-13,3.0
2021-01-14,-3.5
2021-01-15,4.0
2021-01-16,3.0
2021-01-17,-1.6
2021-01-18,1.5714285714285714
2021-01-19,-2.25
2021-01-20,-2.8
2021-01-21,3.0
2021-01-22,2.0
2021-01-23,0.1666666666666666
2021-01-24,2.6666666666666665
2021-01-25,0.25
2021-01-26,1.0
2021-01-27,2.0
2021-01-28,0.0
2021-01-29,-6.0
2021-01-30,-6.0
2021-01-31,3.3333333333333335
2021-02-01,4.5
2021-02-02,-1.4
2021-02-03,-4.0
2021-02-04,2.25
2021-02-05,5.0
2021-02-06,-5.0
2021-02-07,2.6666666666666665
2021-02-08,-1.5
2021-02-09,0.25
2021-02-10,-7.0
2021-02-11,4.666666666666667
2021-02-12,2.4
2021-02-13,4.0
2021-02-14,-5.0
2021-02-15,0.0
2021-02-16,-3.5
2021-02-17,5.333333333333333
2021-02-18,3.4
2021-02-19,-4.5
2021-02-20,1.4216666666666666
2021-02-21,0.8550000000000001
2021-02-22,1.3
2021-02-23,-2.5
2021-02-24,1.5
2021-02-25,3.0
2021-02-26,5.5
2021-02-27,-0.8571428571428571
2021-02-28,-15.0
2021-03-01,1.3566666666666665
2021-03-02,1.2
2021-03-03,6.0
2021-03-04,0.0
2021-03-05,-0.75
2021-03-06,2.3
2021-03-07,12.0
2021-03-08,1.4
2021-03-09,3.0
2021-03-10,3.2222222222222223
2021-03-11,-1.0333333333333332
2021-03-12,8.0
2021-03-13,-4.0
2021-03-14,2.0
2021-03-15,2.0
2021-03-16,-1.3333333333333333
2021-03-17,6.5
2021-03-18,1.25
2021-03-19,3.5
2021-03-20,1.5
2021-03-21,15.0
2021-03-22,1.0
2021-03-23,-3.5
